BCV	text	func_morph	form_morph	strongs	lemma	normalized
Matt 1:14	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:14	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:14	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:14	Ἀχείμ,	N-PRI	N-PRI	885	Ἀχίμ	Ἀχείμ	
Matt 1:14	Ἀχεὶμ	N-PRI	N-PRI	885	Ἀχίμ	Ἀχείμ	
Matt 1:14	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:14	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:14	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:14	Ἐλιούδ,	N-PRI	N-PRI	1664	Ἐλιούδ	Ἐλιούδ	
Matt 1:15	Ἐλιοὺδ	N-PRI	N-PRI	1664	Ἐλιούδ	Ἐλιούδ	
Matt 1:15	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:15	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:15	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:15	Ἐλεάζαρ,	N-PRI	N-PRI	1648	Ἐλεάζαρ	Ἐλεάζαρ	
Matt 1:15	Ἐλεάζαρ	N-PRI	N-PRI	1648	Ἐλεάζαρ	Ἐλεάζαρ	
Matt 1:15	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:15	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:15	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:15	Μαθθάν,	N-PRI	N-PRI	3157	Ματθάν	Μαθθάν	
Matt 1:15	Μαθθὰν	N-PRI	N-PRI	3157	Ματθάν	Μαθθάν	
Matt 1:15	δὲ	CONJ	CONJ	1161	δέ	δέ	
